Epoch: [6][270/960]	 Time 0.069 (0.061)	Data 0.057 (0.042)	Loss 2.9672 (9.6169)	
Epoch: [6][300/960]	 Time 0.076 (0.062)	Data 0.054 (0.043)	Loss 1.8681 (9.5085)	
Epoch: [6][330/960]	 Time 0.086 (0.063)	Data 0.071 (0.043)	Loss 12.5768 (9.7954)	
Epoch: [6][360/960]	 Time 0.090 (0.063)	Data 0.054 (0.044)	Loss 3.3367 (10.3150)	
Epoch: [6][390/960]	 Time 0.042 (0.063)	Data 0.015 (0.043)	Loss 3.7090 (10.3726)	
Epoch: [6][420/960]	 Time 0.040 (0.064)	Data 0.026 (0.043)	Loss 15.3671 (9.9691)	
Epoch: [6][450/960]	 Time 0.036 (0.063)	Data 0.009 (0.043)	Loss 0.6623 (9.9990)	
Epoch: [6][480/960]	 Time 0.135 (0.063)	Data 0.113 (0.043)	Loss 16.0460 (10.3440)	
Epoch: [6][510/960]	 Time 0.134 (0.063)	Data 0.105 (0.044)	Loss 1.4888 (10.1372)	
Epoch: [6][540/960]	 Time 0.052 (0.063)	Data 0.038 (0.043)	Loss 0.9326 (9.9300)	
Epoch: [6][570/960]	 Time 0.052 (0.064)	Data 0.032 (0.044)	Loss 1.7215 (10.2357)	
Epoch: [6][600/960]	 Time 0.048 (0.064)	Data 0.029 (0.044)	Loss 0.7171 (10.0361)	
Epoch: [6][630/960]	 Time 0.032 (0.064)	Data 0.010 (0.044)	Loss 2.1102 (10.1803)	
Epoch: [6][660/960]	 Time 0.077 (0.065)	Data 0.067 (0.044)	Loss 2.5843 (10.3879)	
Epoch: [6][690/960]	 Time 0.072 (0.065)	Data 0.055 (0.044)	Loss 0.8444 (10.4260)	
Epoch: [6][720/960]	 Time 0.070 (0.065)	Data 0.052 (0.045)	Loss 0.7334 (10.2596)	
Epoch: [6][750/960]	 Time 0.060 (0.065)	Data 0.050 (0.045)	Loss 0.7690 (9.9907)	
Epoch: [6][780/960]	 Time 0.053 (0.065)	Data 0.025 (0.045)	Loss 1.6026 (10.1843)	
Epoch: [6][810/960]	 Time 0.073 (0.065)	Data 0.053 (0.045)	Loss 3.1031 (10.1251)	
Epoch: [6][840/960]	 Time 0.102 (0.065)	Data 0.071 (0.045)	Loss 1.7067 (10.1944)	
Epoch: [6][870/960]	 Time 0.067 (0.066)	Data 0.037 (0.045)	Loss 18.3324 (10.3848)	
Epoch: [6][900/960]	 Time 0.056 (0.066)	Data 0.047 (0.045)	Loss 1.1090 (10.3326)	
Epoch: [6][930/960]	 Time 0.065 (0.066)	Data 0.039 (0.045)	Loss 0.8428 (10.1935)	
 * MAE 35.622 
 * best MAE 31.678 
Epoch: [7][0/960]	 Time 0.028 (0.028)	Data 0.020 (0.020)	Loss 9.4294 (9.4294)	
Epoch: [7][30/960]	 Time 0.050 (0.058)	Data 0.042 (0.040)	Loss 0.5690 (4.8279)	
Epoch: [7][60/960]	 Time 0.084 (0.060)	Data 0.075 (0.040)	Loss 2.4226 (5.9114)	
Epoch: [7][90/960]	 Time 0.075 (0.063)	Data 0.064 (0.043)	Loss 0.7325 (5.5502)	
Epoch: [7][120/960]	 Time 0.046 (0.065)	Data 0.023 (0.045)	Loss 20.1793 (6.3584)	
Epoch: [7][150/960]	 Time 0.077 (0.066)	Data 0.070 (0.045)	Loss 0.5779 (6.7938)	
Epoch: [7][180/960]	 Time 0.093 (0.066)	Data 0.061 (0.046)	Loss 2.8321 (7.5329)	
Epoch: [7][210/960]	 Time 0.065 (0.065)	Data 0.043 (0.045)	Loss 0.7235 (7.7082)	
Epoch: [7][240/960]	 Time 0.086 (0.065)	Data 0.065 (0.045)	Loss 13.7353 (7.4800)	
Epoch: [7][270/960]	 Time 0.047 (0.066)	Data 0.034 (0.045)	Loss 1.2450 (7.6275)	
Epoch: [7][300/960]	 Time 0.048 (0.065)	Data 0.037 (0.045)	Loss 15.9370 (8.4638)	
Epoch: [7][330/960]	 Time 0.076 (0.066)	Data 0.057 (0.045)	Loss 10.3679 (8.0881)	
Epoch: [7][360/960]	 Time 0.028 (0.066)	Data 0.010 (0.045)	Loss 0.8229 (8.1501)	
Epoch: [7][390/960]	 Time 0.076 (0.067)	Data 0.057 (0.045)	Loss 1.5477 (8.2369)	
Epoch: [7][420/960]	 Time 0.123 (0.068)	Data 0.102 (0.046)	Loss 82.6641 (8.3599)	
Epoch: [7][450/960]	 Time 0.066 (0.068)	Data 0.033 (0.046)	Loss 3.7162 (8.3268)	
Epoch: [7][480/960]	 Time 0.136 (0.069)	Data 0.109 (0.047)	Loss 9.6131 (8.2330)	
Epoch: [7][510/960]	 Time 0.056 (0.069)	Data 0.030 (0.047)	Loss 0.5876 (8.6223)	
